627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,583,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,582,0,0
627,633,582,581,0,0
627,633,581,580,0,0
627,633,580,579,0,0
627,633,580,578,0,0
628,633,580,576,0,0
628,633,579,574,0,0
628,633,579,572,0,0
629,633,578,570,0,0
629,633,577,567,0,0
629,633,574,564,0,0
629,634,561,560,0,0
629,634,566,557,0,0
629,634,538,552,0,0
628,634,529,546,0,0
628,634,544,541,0,0
626,634,531,535,0,0
624,634,534,531,0,0
622,634,532,527,0,0
622,635,497,526,0,361
622,636,525,525,269,652
622,638,528,524,487,768
623,639,545,525,601,826
623,641,547,526,731,867
623,642,548,526,814,894
622,643,550,526,850,911
622,643,552,526,874,923
621,643,554,526,892,931
620,644,554,526,901,937
620,644,555,527,906,941
620,644,557,527,910,944
620,644,558,527,915,946
620,644,558,528,919,948
619,644,558,529,920,950
619,644,559,529,921,951
619,644,559,530,921,951
619,644,559,530,922,952
619,644,560,531,923,953
619,644,560,531,924,953
619,644,560,532,925,954
619,645,560,532,925,955
619,645,560,532,925,955
619,645,560,532,925,956
619,645,560,533,926,956
619,645,560,533,925,956
619,645,560,533,926,956
619,644,560,533,927,957
619,645,560,533,927,957
619,645,561,534,927,958
619,645,560,533,926,958
619,645,560,534,926,958
619,645,560,534,927,959
619,645,560,534,927,959
619,645,560,534,926,959
619,645,560,534,924,959
618,645,560,534,924,960
619,645,560,534,924,960
619,645,560,535,925,960
619,645,560,535,926,960
619,645,560,535,920,957
619,644,560,535,897,944
621,644,560,535,840,913
622,643,562,536,722,840
623,643,563,536,409,690
625,642,564,537,1,344
626,642,565,539,0,0
626,641,537,542,0,0
627,641,559,545,0,0
629,641,559,547,0,0
631,641,546,551,0,0
633,641,555,554,0,0
635,641,567,557,0,0
636,641,571,559,0,0
637,641,572,560,0,0
637,641,572,561,0,0
637,641,573,561,0,0
637,641,573,561,0,0
637,641,567,561,0,0
637,641,556,561,0,0
637,641,563,561,0,0
637,640,557,561,0,0
637,640,554,561,0,0
637,640,579,562,0,0
637,640,580,565,0,0
638,640,582,568,0,0
639,640,584,570,0,0
638,640,584,571,0,0
639,640,585,571,0,0
639,640,585,572,0,0
639,640,566,573,0,0
639,640,570,573,0,0
639,640,549,574,0,0
639,640,559,574,0,0
639,640,563,574,0,0
640,640,563,574,0,0
640,640,563,574,0,0
640,640,565,574,0,0
640,640,563,574,0,0
640,640,557,574,0,0
640,640,554,574,0,0
640,640,555,574,0,0
640,640,550,574,0,0
640,640,545,574,0,0
640,640,572,575,0,0
640,640,589,574,0,0
640,640,590,575,0,0
640,640,590,575,0,0
640,640,590,575,0,0
640,640,590,576,0,0
640,640,590,576,0,0
640,640,591,576,0,0
640,640,591,576,0,0
640,640,591,577,0,0
640,640,591,576,0,0
640,640,591,576,0,0
640,640,591,577,0,0
640,640,591,576,0,0
640,640,591,576,0,0
640,640,591,576,0,0
640,640,591,577,0,0
640,640,591,576,0,0
640,640,590,577,0,0
640,640,590,576,0,0
640,640,588,576,0,0
640,640,588,576,0,0
640,640,572,576,0,0
640,640,582,576,0,0
640,640,585,576,0,0
640,640,589,576,0,0
640,639,590,576,0,0
640,640,590,576,0,0
640,640,590,576,0,0
640,640,590,576,0,0
640,639,590,576,0,0
640,640,590,576,0,0
640,640,590,576,0,0
640,640,589,576,0,0
640,640,589,576,0,0
640,640,589,576,0,0
640,640,589,576,0,0
640,640,589,576,0,0
640,640,589,576,0,0
640,640,589,576,0,0
640,639,589,576,0,0
640,640,589,576,0,0
640,640,589,576,0,0
640,640,589,576,0,0
640,640,589,576,0,0
640,640,589,576,0,0
640,640,589,576,0,0
640,640,589,576,0,0
640,640,589,576,0,0
640,640,589,576,0,0
640,640,589,576,0,0
640,640,589,576,0,0
640,640,589,576,0,0
640,640,589,576,0,0
640,640,589,576,0,0
640,640,589,576,0,0
640,640,589,576,0,0
