-4104,2452,14916,2264,1325,4464
-4216,2492,14888,3254,184,4576
-3988,2800,14696,-312,-215,-34
-4056,2332,14568,357,269,-151
-4240,2960,14856,-276,66,-246
-3964,2520,14976,92,82,-42
-4208,2860,14736,-4,-36,82
-4020,2456,14840,95,-12,129
-4088,2736,14936,-265,-56,28
-4152,2656,14716,496,122,-102
-4308,2832,13876,164,379,-301
-2216,1596,10416,946,-3209,1765
-3624,4820,21804,-2637,-22305,7906
-1140,3864,16656,4026,-5840,6604
1648,2804,10012,1501,-1063,1249
1156,4556,14764,13714,4666,-2755
-628,7424,16160,12069,3649,-4073
-1748,9400,12832,18617,4972,-1378
-1984,10272,12188,10549,3165,-202
-2520,11592,11236,214,32,-632
-2584,11592,12592,-10230,-4538,-928
-2148,9492,13752,-32768,-10717,-2346
1184,1588,16472,-13800,-3538,3974
112,2796,14060,-7409,-1169,6037
684,740,14528,-3005,568,5332
216,808,22048,-95,-2346,8269
932,-2236,14748,767,-2152,3538
1456,-120,15116,-557,-547,25
1060,464,15060,2123,1132,-1160
156,2136,19016,17229,1001,-3250
-772,8412,16772,25134,4317,-3847
-1212,8656,13196,27657,3868,-246
-700,10264,11280,15437,3342,-347
-1716,12812,10824,8258,1551,-940
-1408,12956,10184,6131,1070,-501
-1860,13232,9032,2314,403,-626
-1804,13236,10364,-11485,-3781,-747
-1836,11656,12496,-32768,-8601,-132
292,5448,13480,-32768,-6632,1405
1156,2096,14064,-8583,-209,2969
508,808,17132,1286,1002,3261
120,488,17132,-256,-130,947
336,892,15220,1398,186,-199
604,996,16112,962,164,-652
956,1164,14136,7265,1407,-1172
-300,4508,16928,18427,3604,-3567
-1060,6616,14416,21121,3259,-2829
-1496,9140,12916,18628,3058,-1504
-2124,11624,11012,14168,2589,-321
-1668,11900,9332,13668,2857,-167
-2356,13780,9576,12568,844,-636
-2296,13984,6316,7751,629,-601
-2472,15104,6508,1361,-367,-774
-2736,15460,6460,-10278,-2417,-399
-2636,14208,9020,-30465,-7129,657
-1920,8980,11700,-32768,-8127,1771
532,3968,14072,-24218,-4238,1715
792,2056,15212,-8971,-800,2919
552,128,17120,80,883,2399
20,356,16624,-564,-59,1103
388,124,15940,1367,4,647
428,780,15420,6887,1193,-1300
96,2960,15152,18221,3208,-1691
