3812,6432,13516,-3148,-2577,-3413,3812,6432,13516,-3148,-2577,-3413,600
3076,4168,15912,-13375,-7609,-3155,3076,4168,15912,-13375,-7609,-3155,636
2676,3104,16396,624,-1693,-760,2676,3104,16396,624,-1693,-760,639
3244,4060,16084,12822,2710,1909,3244,4060,16084,12822,2710,1909,603
2532,7604,15500,6190,1710,320,2532,7604,15500,6190,1710,320,619
4236,7096,15920,1736,1156,1381,4236,7096,15920,1736,1156,1381,618
2944,6388,13040,1494,-2575,1755,2944,6388,13040,1494,-2575,1755,623
4404,7824,12712,5149,-1680,-807,4404,7824,12712,5149,-1680,-807,613
3852,7136,15272,7728,-1159,-7044,3852,7136,15272,7728,-1159,-7044,594
4424,8936,13376,7675,-5738,-6065,4424,8936,13376,7675,-5738,-6065,633
3700,8772,13084,2985,-5607,-2607,3700,8772,13084,2985,-5607,-2607,637
2328,12812,14224,1427,-3082,2633,2328,12812,14224,1427,-3082,2633,608
4904,11712,11736,-489,-3650,4520,4904,11712,11736,-489,-3650,4520,641
6104,9372,10640,-2349,-1825,4267,6104,9372,10640,-2349,-1825,4267,642
7312,7544,11388,-5521,2104,5417,7312,7544,11388,-5521,2104,5417,643
7608,8564,14396,-12685,1642,8759,7608,8564,14396,-12685,1642,8759,635
7096,4156,14780,-3593,3993,8233,7096,4156,14780,-3593,3993,8233,635
7168,2984,15332,4056,2763,-1479,7168,2984,15332,4056,2763,-1479,621
6544,6232,16344,19781,-6393,-7416,6544,6232,16344,19781,-6393,-7416,623
5344,10644,8780,16471,-92,-1602,5344,10644,8780,16471,-92,-1602,629
5384,11904,10608,-6997,4705,2313,5384,11904,10608,-6997,4705,2313,628
9624,9996,13900,-25503,873,1656,9624,9996,13900,-25503,873,1656,587
2636,3340,356,-8252,8143,7858,2636,3340,356,-8252,8143,7858,610
9876,1508,17264,-205,451,1466,9876,1508,17264,-205,451,1466,619
7108,3124,16532,12417,-3983,-5634,7108,3124,16532,12417,-3983,-5634,630
7456,1884,10096,32491,3875,-6820,7456,1884,10096,32491,3875,-6820,629
4696,12236,7184,5247,1000,-478,4696,12236,7184,5247,1000,-478,642
5372,11128,11704,-13826,4263,3035,5372,11128,11704,-13826,4263,3035,642
7884,11512,12316,-29893,5709,3053,7884,11512,12316,-29893,5709,3053,638
5608,1188,15544,-1778,6206,7314,5608,1188,15544,-1778,6206,7314,638
4760,2724,15792,2385,-1541,-3049,4760,2724,15792,2385,-1541,-3049,641
4740,6776,16136,18607,-6566,-6675,4740,6776,16136,18607,-6566,-6675,643
644,6448,8784,26378,-5462,-3853,644,6448,8784,26378,-5462,-3853,632
4904,13548,8652,-487,-160,1303,4904,13548,8652,-487,-160,1303,631
5336,11160,11416,-8955,2044,1875,5336,11160,11416,-8955,2044,1875,631
5768,9460,12360,-29140,3339,2873,5768,9460,12360,-29140,3339,2873,639
5700,4940,12984,-4441,7735,7452,5700,4940,12984,-4441,7735,7452,635
4360,3840,17216,2381,-3737,-120,4360,3840,17216,2381,-3737,-120,639
6468,4004,14596,10701,-4690,-4548,6468,4004,14596,10701,-4690,-4548,642
5708,9364,14520,17981,-5584,-4487,5708,9364,14520,17981,-5584,-4487,641
4896,10692,11504,10935,575,-1606,4896,10692,11504,10935,575,-1606,628
4208,12892,10448,-5653,467,1035,4208,12892,10448,-5653,467,1035,636
6320,10972,12616,-26227,-4284,3075,6320,10972,12616,-26227,-4284,3075,631
6756,5680,12160,-8897,3089,9173,6756,5680,12160,-8897,3089,9173,634
6712,2388,17248,-487,-329,-415,6712,2388,17248,-487,-329,-415,637
6368,6100,13440,8103,642,-6010,6368,6100,13440,8103,642,-6010,642
6636,9748,12624,14058,-5483,-7661,6636,9748,12624,14058,-5483,-7661,640
4436,11236,11088,19156,9180,-2205,4436,11236,11088,19156,9180,-2205,631
5300,12108,9564,-4792,616,246,5300,12108,9564,-4792,616,246,641
5860,10840,12684,-24793,736,1996,5860,10840,12684,-24793,736,1996,639
7192,7800,16992,-19032,-1125,5670,7192,7800,16992,-19032,-1125,5670,638
6108,3232,15860,1452,711,730,6108,3232,15860,1452,711,730,639
5852,5656,14368,3013,-718,-4967,5852,5656,14368,3013,-718,-4967,642
4672,7584,16536,15422,-4535,-7017,4672,7584,16536,15422,-4535,-7017,643
5472,10192,13692,20576,12838,-5024,5472,10192,13692,20576,12838,-5024,641
3408,14044,9288,2668,535,-61,3408,14044,9288,2668,535,-61,641
4588,12024,12992,-14061,258,2233,4588,12024,12992,-14061,258,2233,640
5652,9460,12444,-26336,-4691,4183,5652,9460,12444,-26336,-4691,4183,628
