-1444,1028,15804,297,227,-181,-1444,1028,15804,297,227,-181
-1264,1220,15852,400,312,-173,-1264,1220,15852,400,312,-173
-1660,1288,15940,1656,305,-918,-1660,1288,15940,1656,305,-918
-1648,1756,15780,1092,95,-1305,-1648,1756,15780,1092,95,-1305
-1172,1468,15844,183,118,-558,-1172,1468,15844,183,118,-558
-1664,1800,15868,1409,314,-422,-1664,1800,15868,1409,314,-422
-1420,2008,15804,632,-96,55,-1420,2008,15804,632,-96,55
-1732,2008,15360,654,-73,-171,-1732,2008,15360,654,-73,-171
-1540,1896,15148,207,577,-126,-1540,1896,15148,207,577,-126
-1724,2012,16400,-168,1491,1109,-1724,2012,16400,-168,1491,1109
-1916,2416,14704,-385,208,3844,-1916,2416,14704,-385,208,3844
-2088,1856,15252,-761,-541,3945,-2088,1856,15252,-761,-541,3945
-2044,2356,16860,-2557,-68,3340,-2044,2356,16860,-2557,-68,3340
-1564,1960,14376,-5492,523,2989,-1564,1960,14376,-5492,523,2989
-1876,1856,15908,-6229,56,2998,-1876,1856,15908,-6229,56,2998
-1496,140,15244,-4435,324,1737,-1496,140,15244,-4435,324,1737
-1260,-800,14652,-1680,-273,836,-1260,-800,14652,-1680,-273,836
-2156,-784,16864,-1648,884,-13,-2156,-784,16864,-1648,884,-13
-1804,-648,14804,3954,1300,1321,-1804,-648,14804,3954,1300,1321
-2304,400,17060,13742,574,692,-2304,400,17060,13742,574,692
-2760,3664,14612,12732,2968,753,-2760,3664,14612,12732,2968,753
-2452,4616,14668,20804,3938,2117,-2452,4616,14668,20804,3938,2117
-2824,7644,13456,12855,3060,946,-2824,7644,13456,12855,3060,946
-3252,9000,12560,12466,3483,1239,-3252,9000,12560,12466,3483,1239
-3796,10344,11928,5049,1513,248,-3796,10344,11928,5049,1513,248
-3924,10556,11492,-1295,-550,-468,-3924,10556,11492,-1295,-550,-468
-3824,10604,11140,-5439,-2376,381,-3824,10604,11140,-5439,-2376,381
-3304,8736,13200,-10688,-3037,51,-3304,8736,13200,-10688,-3037,51
-3036,7312,13700,-22075,-5866,-1830,-3036,7312,13700,-22075,-5866,-1830
-2392,3504,15604,-24553,-4847,-2100,-2392,3504,15604,-24553,-4847,-2100
-1236,248,14788,-16018,-4683,-34,-1236,248,14788,-16018,-4683,-34
-1088,-1504,16056,-5348,-1184,2287,-1088,-1504,16056,-5348,-1184,2287
-1320,-1588,16644,729,-1326,2557,-1320,-1588,16644,729,-1326,2557
-832,-2332,15224,-1040,-774,907,-832,-2332,15224,-1040,-774,907
-956,-2440,15936,1306,105,94,-956,-2440,15936,1306,105,94
-436,-2928,14988,3386,628,-220,-436,-2928,14988,3386,628,-220
-1388,-616,16460,7389,-25,-917,-1388,-616,16460,7389,-25,-917
-1280,120,16076,6203,2007,-1007,-1280,120,16076,6203,2007,-1007
-1488,1184,15492,10215,2174,68,-1488,1184,15492,10215,2174,68
-1560,2328,14592,16414,3523,-234,-1560,2328,14592,16414,3523,-234
-2640,5280,14668,15749,3955,-487,-2640,5280,14668,15749,3955,-487
-3012,7468,14144,14925,3988,656,-3012,7468,14144,14925,3988,656
-3152,8656,12224,10830,3198,1089,-3152,8656,12224,10830,3198,1089
-3396,10040,11992,6217,2079,217,-3396,10040,11992,6217,2079,217
-3796,10376,12080,2594,30,65,-3796,10376,12080,2594,30,65
-3352,10220,12580,-4972,-2760,-66,-3352,10220,12580,-4972,-2760,-66
-3136,9892,12196,-6210,-2514,96,-3136,9892,12196,-6210,-2514,96
-2456,8040,13024,-15059,-5172,-923,-2456,8040,13024,-15059,-5172,-923
-1976,5784,14148,-21120,-6912,-1434,-1976,5784,14148,-21120,-6912,-1434
-1772,4460,13844,-13253,-2227,-193,-1772,4460,13844,-13253,-2227,-193
-908,1472,15304,-10551,-3525,-638,-908,1472,15304,-10551,-3525,-638
-448,-324,16372,-10231,-2143,-965,-448,-324,16372,-10231,-2143,-965
-140,-1364,15036,-5039,-727,-67,-140,-1364,15036,-5039,-727,-67
-512,-1440,15996,285,-425,557,-512,-1440,15996,285,-425,557
-300,-2012,16092,1520,359,521,-300,-2012,16092,1520,359,521
-20,-1844,15372,2439,835,257,-20,-1844,15372,2439,835,257
-312,-1012,15192,12106,2899,1063,-312,-1012,15192,12106,2899,1063
-1092,1820,16764,15326,3564,647,-1092,1820,16764,15326,3564,647
-1684,4640,15328,16003,4298,597,-1684,4640,15328,16003,4298,597
-1988,5728,14128,14530,2646,-297,-1988,5728,14128,14530,2646,-297
-2312,7636,14020,10219,2826,-1558,-2312,7636,14020,10219,2826,-1558
-2772,9152,12780,9408,2452,-569,-2772,9152,12780,9408,2452,-569
