4660,6460,14032,3123,2275,-2077,4660,6460,14032,3123,2275,-2077,627
4180,6692,14264,1136,240,-2022,4180,6692,14264,1136,240,-2022,631
4904,5644,15772,2885,528,259,4904,5644,15772,2885,528,259,630
4308,8192,13624,2554,484,-79,4308,8192,13624,2554,484,-79,629
3764,6908,14456,2013,-483,-845,3764,6908,14456,2013,-483,-845,629
3996,7940,14036,4421,-1122,-1561,3996,7940,14036,4421,-1122,-1561,628
4376,8320,13356,1673,-5123,-3418,4376,8320,13356,1673,-5123,-3418,590
3424,8276,17640,-232,-6851,-3930,3424,8276,17640,-232,-6851,-3930,589
4416,9084,12012,2803,-5526,-2588,4416,9084,12012,2803,-5526,-2588,603
5192,7688,14392,1867,-5579,-447,5192,7688,14392,1867,-5579,-447,635
5452,8968,12408,625,-5645,6106,5452,8968,12408,625,-5645,6106,636
8996,8684,13820,-3311,-3587,8359,8996,8684,13820,-3311,-3587,8359,636
9160,7432,10996,-5806,-586,7345,9160,7432,10996,-5806,-586,7345,1022
9164,6064,12676,-2061,1426,3736,9164,6064,12676,-2061,1426,3736,1023
9084,6144,12844,-4000,637,2834,9084,6144,12844,-4000,637,2834,628
6132,7452,12984,-14488,666,9594,6132,7452,12984,-14488,666,9594,630
6384,6832,14300,-4226,2473,9260,6384,6832,14300,-4226,2473,9260,621
7712,2032,15180,895,5772,867,7712,2032,15180,895,5772,867,623
7884,992,16056,5967,-1243,-5054,7884,992,16056,5967,-1243,-5054,634
7672,5472,15884,19966,-822,-5582,7672,5472,15884,19966,-822,-5582,641
6764,9852,12540,17231,-229,-1793,6764,9852,12540,17231,-229,-1793,630
7264,10776,9520,2976,692,-215,7264,10776,9520,2976,692,-215,636
7968,8756,12468,-14858,-324,1925,7968,8756,12468,-14858,-324,1925,639
8548,8748,13736,-31381,-1429,4733,8548,8748,13736,-31381,-1429,4733,635
7348,612,16736,1904,5189,4048,7348,612,16736,1904,5189,4048,636
7516,2136,15724,3349,97,-2761,7516,2136,15724,3349,97,-2761,639
7788,5712,15856,18401,1856,-4367,7788,5712,15856,18401,1856,-4367,640
7120,7952,13704,27358,1382,-3206,7120,7952,13704,27358,1382,-3206,635
5352,11508,8108,11119,1224,-1849,5352,11508,8108,11119,1224,-1849,641
5700,12800,11396,-8986,-954,1534,5700,12800,11396,-8986,-954,1534,641
6084,8676,14676,-23740,-4635,2118,6084,8676,14676,-23740,-4635,2118,636
6568,5112,8192,-20529,2799,8050,6568,5112,8192,-20529,2799,8050,621
7112,2976,17048,1697,1387,1459,7112,2976,17048,1697,1387,1459,631
7236,4392,15260,5228,-1372,-3233,7236,4392,15260,5228,-1372,-3233,639
8100,5576,16308,17902,2252,-3309,8100,5576,16308,17902,2252,-3309,641
6892,7304,14400,20496,314,-1293,6892,7304,14400,20496,314,-1293,641
6236,12052,9208,7744,-41,-648,6236,12052,9208,7744,-41,-648,642
5680,12436,9780,-8234,-166,1538,5680,12436,9780,-8234,-166,1538,641
6804,12172,12376,-30231,-3443,3667,6804,12172,12376,-30231,-3443,3667,634
6780,1928,12520,-7599,4141,6942,6780,1928,12520,-7599,4141,6942,630
7292,2252,17192,-520,-353,-1724,7292,2252,17192,-520,-353,-1724,632
7920,5656,13668,4971,-874,-4343,7920,5656,13668,4971,-874,-4343,638
7284,6736,12516,19320,676,-3108,7284,6736,12516,19320,676,-3108,640
6864,10624,11712,20516,2156,-982,6864,10624,11712,20516,2156,-982,642
6436,11872,10608,8572,1139,-398,6436,11872,10608,8572,1139,-398,642
6308,12492,11000,-9301,-356,580,6308,12492,11000,-9301,-356,580,642
7764,10076,13148,-29472,-4219,1180,7764,10076,13148,-29472,-4219,1180,635
6424,2784,11848,-8974,3015,5141,6424,2784,11848,-8974,3015,5141,630
6784,3276,14844,-799,-286,-1928,6784,3276,14844,-799,-286,-1928,634
6712,6656,13740,10135,222,-4857,6712,6656,13740,10135,222,-4857,640
6964,10300,8988,19964,3632,-4528,6964,10300,8988,19964,3632,-4528,641
6856,11352,10800,23729,845,-3005,6856,11352,10800,23729,845,-3005,641
5972,13332,7112,2431,103,-388,5972,13332,7112,2431,103,-388,642
5320,12900,9980,-9451,-170,1617,5320,12900,9980,-9451,-170,1617,642
6516,11156,11596,-24231,-2447,1771,6516,11156,11596,-24231,-2447,1771,638
7052,8560,10720,-25143,380,6346,7052,8560,10720,-25143,380,6346,632
6676,2696,16292,-688,2185,3361,6676,2696,16292,-688,2185,3361,632
6400,4868,13336,5141,411,-2564,6400,4868,13336,5141,411,-2564,639
