-1804,13868,8188,119,-65,7
-1820,13800,8032,110,-95,-2
-1796,13836,7920,29,-135,-101
-1716,13912,7884,64,-46,19
-1820,13764,7932,-35,-60,-6
-1872,13868,8128,33,-96,-16
-1692,13636,7940,-1009,-199,319
-1328,13312,8000,-2294,-546,2216
-1304,13520,7896,-2929,-349,2864
-716,13444,8720,-134,435,2364
-608,14292,8384,1336,509,2611
-432,14044,8328,579,-188,2856
-180,14560,8520,988,627,4826
-1016,14844,7868,-32,-743,5255
1400,15184,8236,-2549,-834,4699
2768,13980,8500,-519,-382,4410
2376,13244,8872,-1469,-885,3127
2380,13296,9216,32,-530,1714
2760,13384,9000,-42,-1284,719
3116,13540,8716,2253,-1302,430
3360,12448,7400,13723,-1687,585
3232,15200,6768,19297,-4960,285
3832,16732,2244,15695,-3446,-109
4252,17288,288,7383,-952,-241
3692,17224,-224,424,-126,-123
3740,18384,2044,-13680,956,224
3724,17980,2604,-31967,5011,119
4084,12768,4744,-13366,3890,2446
3648,10652,11076,-2399,4809,671
2292,12988,10440,-215,1216,-1006
2768,12668,9608,6570,-2069,-704
2892,14024,7548,16128,-4261,-416
3352,16080,4120,19923,-5047,140
3840,14988,2140,19331,-5690,473
4016,17644,-572,8159,-2167,90
3704,16468,-2392,1525,-1244,209
3716,19772,896,-21809,1831,-676
3876,17764,24,-32768,11773,-1321
3516,10268,6112,-3974,3626,4586
2072,11136,12544,-3551,2572,-198
1656,13172,11500,3951,-2940,-20
2912,13188,8440,4267,-2758,-916
3908,13324,4484,20001,-3885,862
3244,16144,4600,27429,-9027,1254
3540,16072,984,16696,-3144,48
4288,17072,-2452,5420,-2501,-121
3972,18088,-2132,-8943,172,-237
3504,17488,-1760,-24906,4135,-351
4644,17996,3544,-32768,10874,-1587
1952,10044,6368,1817,2734,5549
2024,11600,12796,-6459,3453,-568
1408,12748,12288,5551,-4877,1190
3488,12672,7704,2417,-1389,-2889
3332,13896,5096,26130,-5133,-256
2648,16404,4012,32767,-6997,-73
2640,17604,-672,17455,-2158,-1054
4196,18628,-5900,1982,-818,517
3644,16176,-3296,-6374,-350,19
