11600,8944,11672,-2369,-1560,2330,0,0,0,-1895,232,5761
11408,8972,11500,-2569,-1729,2280,5296,4464,14292,-4665,-550,12266
11604,8064,10848,-1504,-2004,1975,5412,3340,13616,-1911,-4100,2294
11396,7376,10524,-1588,-1678,1790,5536,2760,12824,-2445,-2953,2337
11192,7296,10256,-618,-1339,728,5200,2464,12516,-1178,-2421,1160
11608,7236,10268,-204,-761,512,5924,2764,12532,-1027,-2211,1299
11752,7596,10664,-968,-395,96,6500,2340,12652,-1878,-1624,1171
12608,7308,11088,161,-1264,353,7408,1980,13656,80,-1648,201
12168,7020,10408,9,-1125,-324,7256,1828,12728,-108,-950,-533
12564,7384,9680,-87,-723,-786,7632,2444,12092,357,-624,-1119
12488,7816,9132,2333,114,-513,7372,3556,11728,2592,110,-331
12660,8732,8848,2332,798,-271,7440,4168,11720,3038,30,125
12996,8448,9932,2916,2923,2732,7376,4568,12076,1399,1374,3692
11648,6352,12020,-10271,4029,3264,6712,1612,13780,-10288,2914,8340
12264,6640,12260,-4675,3895,3919,7572,-96,13296,-6902,1700,9530
11864,6404,12952,-5335,4702,4447,6852,-872,14296,-7323,3597,7321
10472,3388,12192,-5332,3638,2272,5056,-4044,13260,-3874,2883,2849
9864,2596,13832,2328,-933,111,4380,-4584,14840,2541,-1189,-226
10432,3108,14112,2494,-3229,-1139,5168,-3872,14780,1396,-2229,-1619
10704,3348,13512,1481,-3778,-4196,5128,-4080,14640,1512,-2665,-5356
11176,5012,12424,5665,-6397,-6229,6304,-2144,13864,5236,-4698,-8109
12104,7040,7556,11443,-6542,-7140,7576,1636,12916,10349,-6263,-9464
12368,10240,8264,10948,-5615,-4468,9756,4740,10420,9398,-5019,-6824
12396,11068,5776,3537,132,-3426,9532,6112,7992,2895,-2661,-3523
12716,11380,5764,7608,1286,-991,9400,6376,8424,7811,-435,-1001
12488,11724,5528,7729,1334,423,9356,6724,8324,8795,1128,-253
11712,12656,6036,7894,4186,1127,8228,7660,8712,8881,3832,1454
11224,12788,9132,-10434,2965,3754,8132,7788,12004,-12540,8088,4462
11072,9964,10472,-25960,6368,3590,6948,2992,12868,-24717,7536,5581
10740,5060,12688,-8040,1358,5598,5840,-2556,14304,-8641,3553,8837
11676,4728,12856,-685,464,2862,5156,-3088,15104,-3015,-501,5781
10652,3428,13276,-1607,-2377,-2081,5320,-4992,14500,-1538,-2036,-1918
10956,5444,12628,7925,-7506,-4931,5660,-2620,14752,7053,-6505,-6799
12068,7920,9444,11945,-7448,-5988,7176,1080,12580,11594,-8088,-8879
12492,12584,4768,15747,-6513,-6623,7880,6212,9688,10864,-9268,-9729
13040,13608,3076,8641,-2408,-2659,8728,9944,6864,7313,-4196,-7358
13332,12288,4556,3738,-1221,1812,10360,7836,7176,1423,-2882,2877
12384,11664,4808,-7562,3925,1622,8824,6604,7972,-6622,4697,2516
12148,9836,5860,-7277,6363,2594,8712,4808,7920,-6808,8214,4193
11160,9436,9424,-11043,6492,5448,7652,3608,12948,-11594,10072,9376
11664,7732,11200,-15806,7129,4895,6756,-716,13828,-14008,7408,7891
10764,4592,13388,-927,3371,3272,5688,-2632,15676,367,3882,4785
11120,5056,14164,-3877,-600,1787,5928,-3624,15592,-4762,-86,2193
10876,3348,13032,-758,-2736,-2231,5152,-4384,15264,-357,-2544,-3336
12868,5900,12024,10393,-5185,-4682,7196,-2440,13736,9904,-5857,-6812
11576,8420,9804,7346,-7944,-4607,7340,1604,11948,5778,-7362,-7581
12224,9664,7696,7184,-4001,-5076,8012,3792,10308,8025,-4661,-7733
13208,10476,5948,9113,-2300,-4125,8704,5396,8872,8165,-4296,-4645
13044,11316,4308,4973,2057,-2021,9680,6620,6896,5537,1149,-2567
11996,12864,3768,3744,5840,-141,8752,7984,7384,5106,4464,-2013
12292,11876,6064,-3353,6669,394,8616,8188,9116,-3660,7932,2614
11428,12492,9712,-17014,7939,3982,7656,5392,12388,-16401,11849,5600
10872,8692,10064,-17664,5061,3834,4712,1704,14308,-16224,6592,4894
10464,5224,13304,2348,1825,2393,5000,-2980,15920,2488,586,4612
10580,6464,13980,7083,-2614,322,4216,-1144,16972,6296,-2518,1181
10996,5856,12740,-967,-3810,-3504,4088,-1336,14296,-497,-2722,-5015
11028,8872,11408,12186,-4505,-3925,6440,2020,14004,13693,-6579,-5694
11832,11460,7836,14804,-7670,-3936,6280,5424,11784,13459,-10373,-5178
13032,10828,4020,8639,-6135,-2149,8336,7412,6540,8073,-7408,-3356
12784,12440,3340,7427,570,-2778,8604,8448,7064,6970,94,-3165
12016,12920,2720,-1273,-23,-1194,7084,9224,6248,-1845,553,-931
